Title,Author,Character,Gender,Location,Longitude,Latitude
Puck,Ouida,Puck,Male,Mount Street,-0.150849,51.509877
Puck,Ouida,Puck,Male,Peak Country,-1.757973,53.250797
Puck,Ouida,Puck,Male,Derbyshire,-1.70377,53.226947
Puck,Ouida,Puck,Male,Derbyshire (marketplace),-1.562593,53.104738
Puck,Ouida,Puck,Male,Fenland,-1.442462,53.227428
Puck,Ouida,Puck,Male,London (eastern),-0.071321,51.514246
Puck,Ouida,Puck,Male,Forest of Compiegne ,2.883283,49.366749
Puck,Ouida,Puck,Male,Paris,2.352222,48.856613
Puck,Ouida,Puck,Male,Park,-0.15826,51.53141667
Puck,Ouida,Puck,Male,Ladies Mile,-0.165772,51.507241
Puck,Ouida,Puck,Male,Coronet theater,-0.19816,51.508648
Puck,Ouida,Puck,Male,3 blocks from Coronet,-0.197114,51.508979
Puck,Ouida,Puck,Male,Christies,-0.137379,51.506787
Puck,Ouida,Puck,Male,Philips,-0.146963,51.510654
Puck,Ouida,Puck,Male,Villa by the thames,-0.17689,51.478709
Puck,Ouida,Puck,Male,Rotten Row,-0.165731,51.507282
Puck,Ouida,Puck,Male,Pall Mall,-0.133994,51.506835
Puck,Ouida,Puck,Male,St. James street,-0.139306,51.506727
Puck,Ouida,Puck,Male,Dower house among the Fens,0.060341,52.56624
Puck,Ouida,Puck,Male,3 blocks from Coronet,-0.197114,51.508979
Puck,Ouida,Puck,Male,London,-0.071321,51.514246
Puck,Ouida,Puck,Male,3 blocks from Coronet,-0.197114,51.508979
Puck,Ouida,Puck,Male,Coronet theater,-0.19816,51.508648
Puck,Ouida,Puck,Male,Ascot,-0.675758,51.407888
Puck,Ouida,Puck,Male,Germany,10.272262,51.038519
Puck,Ouida,Puck,Male,Bucks,-0.811092,51.865959
Puck,Ouida,Puck,Male,Between civita vecchio and rome,12.11831,41.967678
Puck,Ouida,Puck,Male,Campagna,15.106184,40.667055
Puck,Ouida,Puck,Male,Rome,12.497667,41.90073
Puck,Ouida,Puck,Male,Ostia,12.286178,41.730319
Puck,Ouida,Puck,Male,Marseille ,5.374918,43.29571
Puck,Ouida,Puck,Male,Paris,2.352222,48.856613
Puck,Ouida,Puck,Male,Sevres,2.210543,48.821211
Puck,Ouida,Puck,Male,Versailles ,2.126302,48.800921
Puck,Ouida,Puck,Male,Silver stag,0.230698,43.993307
Puck,Ouida,Puck,Male,Paris,2.352222,48.856613
Puck,Ouida,Puck,Male,Coronet theater ,-0.19816,51.508648
Puck,Ouida,Puck,Male,Rotten Row,-0.165731,51.507282
Puck,Ouida,Puck,Male,Chelsea,-0.171009,51.486891
Puck,Ouida,Puck,Male,South Kensington,-0.178883,51.496107
Puck,Ouida,Puck,Male,Coronet theater,-0.19816,51.508648
Puck,Ouida,Puck,Male,Henley ,-0.900181,51.550261
Puck,Ouida,Puck,Male,Wargrave,-0.874927,51.501711
Puck,Ouida,Puck,Male,Hyde park,-0.165772,51.507241
Puck,Ouida,Puck,Male,South Kensington,-0.215595,51.514273
Puck,Ouida,Puck,Male,South Kensington,-0.178883,51.496107
Puck,Ouida,Puck,Male,Coronet theater,-0.19816,51.508648
Puck,Ouida,Puck,Male,Paris,2.352222,48.856613
Puck,Ouida,Puck,Male,Silver stag,0.230698,43.993307
Puck,Ouida,Puck,Male,London,-0.071321,51.514246
Puck,Ouida,Puck,Male,Peak Country,-1.757973,53.250797
Puck,Ouida, Avice Dare,Female,Peak country/district. Upward end of the southern Pennines,-1.757973,53.250797
Puck,Ouida, Avice Dare,Female,Derbyshire,-1.70377,53.226947
Puck,Ouida, Avice Dare,Female,Derbyshire (marketplace),-1.562593,53.104738
Puck,Ouida, Avice Dare,Female,Derbyshire (Miner's Joy),-1.491552,52.930704
Puck,Ouida, Avice Dare,Female,London,-0.071321,51.514246
Puck,Ouida,Reuben Dare,Male,Peak country,-1.757973,53.250797
Puck,Ouida,Reuben Dare,Male,Ashford-in-the-water (Derbyshire),-1.70377,53.226947
Puck,Ouida,Reuben Dare,Male,Wye Dales,-3.176685,52.10696
Puck,Ouida,Old Dick,Male,Peak Country,-1.757973,53.250797
Puck,Ouida,Nell,Female,Peak country,-1.807781,53.24084
Puck,Ouida,Trust,Male,Peak country,-1.757973,53.250797
Puck,Ouida,Old Smedly,Female,Peak Country,-1.757973,53.250797
Puck,Ouida,Old Smedly,Female,Derbyshire (marketplace),-1.562593,53.104738
Puck,Ouida,No name,Unknown,fenland,-1.442462,53.227428
Puck,Ouida,Bill Jacobs,Male,Eastern London,-0.071321,51.514246
Puck,Ouida,Bill Jacobs,Male,Rotten Row,-0.165731,51.507282
